,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind speed
350,paramonga,few clouds,PE,1567436197,89,-10.68,-77.82,15.53,4.15
351,pacific grove,clear sky,US,1567436198,72,36.62,-121.92,20.0,5.26
352,khash,clear sky,IR,1567436198,21,28.22,61.21,21.73,4.83
353,puerto del rosario,clear sky,ES,1567436198,65,28.5,-13.86,25.0,5.1
354,lumphat,light rain,KH,1567436198,97,13.5,106.97,23.03,4.27
355,zhigansk,overcast clouds,RU,1567436198,73,66.77,123.37,5.73,4.94
356,hameenlinna,overcast clouds,FI,1567436198,93,61.0,24.46,20.56,4.6
357,guerrero negro,scattered clouds,MX,1567436198,84,27.97,-114.04,21.83,1.26
358,karaton,scattered clouds,ID,1567436199,69,-6.34,106.1,28.0,1.0
359,north platte,overcast clouds,US,1567436199,83,41.12,-100.77,23.0,3.1
360,grand gaube,broken clouds,MU,1567436199,69,-20.01,57.66,23.33,4.1
361,alofi,scattered clouds,NU,1567436199,73,-19.06,-169.92,21.0,3.6
362,wewak,light rain,PG,1567436199,89,-3.55,143.63,24.93,2.07
363,bhagalpur,overcast clouds,IN,1567436199,57,25.25,86.98,33.13,2.68
364,areosa,clear sky,PT,1567436199,48,41.72,-8.86,31.67,4.6
365,kupang,few clouds,ID,1567436199,60,-10.16,123.6,23.0,4.1
366,vila franca do campo,few clouds,PT,1567436200,78,37.72,-25.43,24.0,8.2
367,kieta,light rain,PG,1567436200,79,-6.22,155.63,26.53,2.74
368,karangasem,overcast clouds,ID,1567436200,83,-6.7,108.49,23.73,1.81
369,san rafael,few clouds,AR,1567436200,42,-34.61,-68.33,5.43,10.1
370,sur,broken clouds,OM,1567436200,68,22.57,59.53,27.43,2.33
371,moses lake,clear sky,US,1567436200,71,47.13,-119.28,17.78,2.1
372,saint-francois,clear sky,FR,1567436200,27,46.42,3.91,25.0,5.1
373,baruun-urt,overcast clouds,MN,1567436201,39,46.68,113.28,19.43,2.97
374,oxelosund,light intensity drizzle,SE,1567436201,45,58.67,17.1,19.0,6.7
375,merrill,clear sky,US,1567436201,93,42.03,-121.6,13.89,0.58
376,solnechnyy,few clouds,RU,1567436201,88,50.72,136.64,9.43,2.4
377,jackson,clear sky,US,1567436062,74,32.3,-90.18,27.78,2.1
378,gizo,clear sky,IL,1567436201,55,31.8,34.94,31.0,6.2
379,karema,clear sky,TZ,1567436201,57,-6.82,30.44,27.63,2.82
380,waipawa,scattered clouds,NZ,1567436201,88,-39.94,176.59,6.11,1.26
381,chimbote,overcast clouds,PE,1567436202,91,-9.08,-78.59,15.23,3.85
382,abnub,clear sky,EG,1567436202,29,27.27,31.15,37.0,5.1
383,vostok,clear sky,RU,1567436202,97,46.45,135.83,10.73,1.99
384,vokhma,clear sky,RU,1567436202,73,58.93,46.76,12.63,1.41
385,kampong cham,light rain,KH,1567436202,95,11.99,105.46,24.13,1.71
386,smithers,few clouds,CA,1567436202,100,54.78,-127.17,6.0,1.0
387,tabou,light rain,CI,1567436203,90,4.42,-7.36,23.53,3.63
388,faya,dust,SA,1567436203,64,18.39,42.45,29.0,6.2
389,ust-nera,broken clouds,RU,1567436203,61,64.57,143.24,4.83,1.64
390,codrington,clear sky,AU,1567436203,87,-28.95,153.24,14.0,1.47
391,saint-pierre,clear sky,FR,1567436203,37,48.95,4.24,24.44,5.7
392,biloxi,clear sky,US,1567435907,78,30.4,-88.89,28.89,4.1
393,parauna,broken clouds,ID,1567436203,96,-3.82,122.09,19.03,0.67
394,staraya mayna,broken clouds,RU,1567436203,45,54.61,48.93,17.0,5.0
395,seoul,haze,KR,1567436116,94,37.57,126.98,24.0,0.5
396,mahibadhoo,overcast clouds,MV,1567436204,76,3.78,72.97,28.43,3.62
397,vredendal,clear sky,ZA,1567436204,76,-31.68,18.49,16.43,6.67
398,seymchan,broken clouds,RU,1567436204,76,62.93,152.39,3.33,0.05
399,karatau,clear sky,KZ,1567436204,72,43.18,70.46,18.33,0.89
400,vyshneve,clear sky,UA,1567436204,39,50.39,30.37,29.0,4.0
401,berlevag,shower rain,NO,1567436204,93,70.86,29.09,11.0,4.6
402,campos belos,overcast clouds,BR,1567436204,11,-13.04,-46.77,37.03,2.69
403,sivas,few clouds,TR,1567436204,33,39.75,37.01,22.22,6.7
404,karratha,clear sky,AU,1567436205,61,-20.74,116.85,19.33,2.95
405,ambon,scattered clouds,FR,1567436205,49,47.55,-2.56,23.33,2.6
406,atherton,overcast clouds,AU,1567436205,68,-17.27,145.48,18.0,2.1
407,chegdomyn,clear sky,RU,1567436205,94,51.13,133.04,7.03,0.42
408,la palma,light rain,CO,1567436205,77,5.36,-74.39,25.43,1.4
409,anchorage,light intensity drizzle,US,1567436143,51,61.22,-149.89,16.11,4.6
410,krasnoye,clear sky,RU,1567436205,25,44.87,39.46,31.67,3.0
411,nizhniy ufaley,light rain,RU,1567436206,98,55.91,59.99,7.83,3.72
412,luderitz,overcast clouds,NA,1567436206,10,-26.65,15.16,31.0,4.6
413,karangampel,overcast clouds,ID,1567436206,83,-6.46,108.44,23.73,1.81
414,batagay,overcast clouds,RU,1567436206,56,67.65,134.64,9.33,1.34
415,lingao,moderate rain,CN,1567436206,81,19.91,109.69,28.63,14.15
416,aranos,clear sky,NA,1567436206,2,-24.14,19.11,27.43,2.96
417,kendari,broken clouds,ID,1567436206,94,-3.99,122.52,19.63,0.55
418,pangai,scattered clouds,TO,1567436207,74,-19.8,-174.35,22.13,7.13
419,san vicente,overcast clouds,EC,1567436207,88,-0.59,-80.41,20.0,3.6
420,puerto colombia,scattered clouds,CO,1567436207,74,10.99,-74.96,31.11,3.1
421,koshurnikovo,light rain,RU,1567436207,95,54.3,93.39,9.93,1.21
422,taltal,broken clouds,CL,1567436207,76,-25.41,-70.49,11.93,2.51
423,forth,light rain,AU,1567436207,86,-41.19,146.25,9.44,1.02
424,mehamn,broken clouds,NO,1567436207,93,71.03,27.85,11.0,1.0
425,coffs harbour,clear sky,AU,1567436207,76,-30.3,153.13,14.0,2.6
426,vestmanna,few clouds,FO,1567436208,66,62.16,-7.17,11.0,3.1
427,khani,thunderstorm,GE,1567436208,88,41.96,42.96,22.0,3.6
428,eureka,overcast clouds,US,1567435973,100,40.8,-124.16,15.0,4.6
429,qaqortoq,broken clouds,GL,1567436208,87,60.72,-46.03,8.0,1.5
430,dickinson,overcast clouds,US,1567436164,93,46.88,-102.79,17.22,7.7
431,makakilo city,scattered clouds,US,1567436208,69,21.35,-158.09,27.0,2.1
432,christchurch,clear sky,NZ,1567436208,93,-43.53,172.64,10.56,4.1
433,saldanha,clear sky,PT,1567436208,26,41.42,-6.55,28.43,4.55
434,ravar,clear sky,IR,1567436208,18,31.27,56.81,25.23,3.75
435,singkang,broken clouds,MY,1567436209,83,2.1,102.8,28.0,4.66
436,victor harbor,clear sky,AU,1567436209,82,-35.55,138.62,13.33,3.6
437,madang,scattered clouds,CN,1567436209,91,35.32,102.79,5.23,0.88
438,sao cristovao,scattered clouds,BR,1567436209,66,-11.01,-37.21,29.0,6.7
439,jamame,clear sky,SO,1567436209,63,0.07,42.75,26.73,6.61
440,cap malheureux,broken clouds,MU,1567436209,69,-19.98,57.61,23.33,4.1
441,kamaishi,overcast clouds,JP,1567436209,98,39.28,141.86,14.83,1.51
442,sioux lookout,few clouds,CA,1567436210,81,50.1,-91.92,8.0,1.5
443,mwinilunga,clear sky,ZM,1567436210,15,-11.73,24.43,32.43,3.11
444,sanary-sur-mer,clear sky,FR,1567436137,38,43.12,5.8,31.0,8.7
445,ishigaki,light rain,JP,1567436210,79,24.34,124.16,28.73,7.68
446,vestmannaeyjar,clear sky,IS,1567436210,71,63.44,-20.27,11.0,4.1
447,paamiut,overcast clouds,GL,1567436210,86,61.99,-49.67,6.03,1.38
448,jaisalmer,scattered clouds,IN,1567436210,47,26.91,70.91,35.63,1.18
449,ambulu,overcast clouds,ID,1567436211,88,-8.35,113.61,22.53,3.38
450,mocuba,broken clouds,MZ,1567436211,54,-16.84,36.99,26.43,3.45
451,buraydah,scattered clouds,SA,1567436211,13,26.33,43.97,44.0,3.1
452,sangar,light rain,RU,1567436211,88,63.92,127.47,11.63,1.85
453,provost,light rain,CA,1567436211,81,52.35,-110.26,13.23,4.8
454,tessalit,clear sky,ML,1567436211,12,20.2,1.01,41.03,2.97
455,lompoc,mist,US,1567436211,87,34.64,-120.46,19.0,1.56
456,indramayu,overcast clouds,ID,1567436212,74,-4.05,103.78,21.03,1.55
457,tura,overcast clouds,RU,1567436212,93,64.27,100.22,10.33,1.1
458,lupiro,broken clouds,TZ,1567436212,34,-8.39,36.67,30.73,3.29
459,maceio,broken clouds,BR,1567436212,74,-9.67,-35.74,27.0,7.2
460,grindavik,clear sky,IS,1567436212,66,63.84,-22.43,11.0,6.7
461,bonfim,light rain,GY,1567436212,63,3.36,-59.84,30.33,3.63
462,filadelfia,clear sky,PY,1567436212,22,-22.35,-60.04,24.03,2.74
463,kokemaki,light rain,FI,1567436213,93,61.26,22.36,16.11,4.6
464,camacupa,few clouds,AO,1567436213,16,-12.02,17.48,30.43,2.63
465,flinders,overcast clouds,AU,1567436213,93,-34.58,150.85,12.78,2.6
466,adrar,clear sky,DZ,1567436213,15,27.87,-0.29,41.0,3.6
467,almaznyy,clear sky,RU,1567436213,17,48.03,40.04,29.0,2.0
468,erzin,clear sky,TR,1567436213,46,36.95,36.2,33.0,6.2
469,fukue,broken clouds,JP,1567436213,88,35.03,136.69,26.67,1.5
470,okhotsk,overcast clouds,RU,1567436213,88,59.36,143.24,8.33,0.91
471,belmonte,clear sky,PT,1567436214,38,40.36,-7.35,33.89,3.13
472,mulchen,clear sky,CL,1567436214,66,-37.72,-72.23,9.0,8.7
473,mount gambier,overcast clouds,AU,1567436214,93,-37.83,140.78,10.0,0.5
474,cao bang,light rain,VN,1567436214,95,22.67,106.25,21.63,1.62
475,nova vicosa,overcast clouds,BR,1567436214,67,-17.89,-39.37,26.83,4.17
476,northam,light intensity shower rain,AU,1567436180,93,-31.65,116.67,14.0,4.1
477,kishi,light rain,NG,1567436214,81,9.08,3.85,27.23,2.83
478,poum,thunderstorm,MK,1567436214,44,41.28,20.71,25.0,2.1
479,omboue,broken clouds,GA,1567436215,84,-1.57,9.26,23.83,5.56
480,coquimbo,overcast clouds,CL,1567435944,87,-29.95,-71.34,11.0,2.1
481,tonantins,clear sky,BR,1567436215,49,-2.86,-67.77,33.53,1.44
482,huarmey,broken clouds,PE,1567436215,91,-10.07,-78.15,15.43,4.02
483,hirara,light rain,JP,1567436215,83,24.8,125.28,28.73,7.9
484,amapa,few clouds,HN,1567436215,66,15.09,-87.97,31.11,2.6
485,ugoofaaru,overcast clouds,MV,1567436215,76,5.67,73.0,28.63,2.58
486,bayir,few clouds,TR,1567436216,51,37.27,28.22,32.0,7.7
487,la peca,scattered clouds,PE,1567436216,44,-5.61,-78.44,28.33,0.91
488,anito,overcast clouds,PH,1567436216,84,12.45,125.29,25.23,2.93
489,sovetskiy,broken clouds,RU,1567436216,74,56.76,48.47,12.43,1.76
490,tartagal,clear sky,AR,1567436216,46,-22.52,-63.8,21.0,4.1
491,ludvika,clear sky,SE,1567436216,45,60.15,15.18,18.0,5.7
492,revda,broken clouds,RU,1567436216,66,67.94,34.55,18.03,3.5
493,musoma,scattered clouds,TZ,1567436217,69,-1.5,33.81,26.0,4.6
494,durban,broken clouds,CA,1567436217,70,51.93,-101.44,11.03,2.67
495,baturaja,overcast clouds,ID,1567436217,77,-4.12,104.17,24.33,1.45
496,san lorenzo,clear sky,HN,1567436217,66,13.43,-87.45,29.0,2.1
497,la libertad,clear sky,PE,1567436217,16,-16.38,-71.56,19.0,1.0
498,dehloran,clear sky,IR,1567436217,12,32.69,47.27,33.53,4.47
499,belaya gora,overcast clouds,RU,1567436217,50,68.54,146.19,8.23,2.37
500,sarkand,clear sky,KZ,1567436217,26,45.41,79.91,19.53,2.73
501,price,clear sky,US,1567435963,18,39.6,-110.81,21.67,1.5
502,laguna,scattered clouds,BZ,1567436218,78,16.17,-88.94,28.0,1.69
503,anqing,broken clouds,CN,1567436199,90,30.51,117.04,21.83,2.39
504,erenhot,broken clouds,CN,1567436218,19,43.65,111.97,25.73,3.47
505,ortakoy,few clouds,TR,1567436218,23,38.74,34.04,31.11,3.6
506,kourou,scattered clouds,GF,1567436218,59,5.16,-52.64,32.0,1.5
507,segezha,overcast clouds,RU,1567436218,66,63.74,34.31,20.73,2.61
508,dongsheng,clear sky,CN,1567436218,90,29.72,112.52,20.43,2.24
509,palembang,overcast clouds,ID,1567436219,77,-2.99,104.76,25.33,2.08
510,kropotkin,clear sky,RU,1567436219,23,45.43,40.58,28.89,3.09
511,fereydunshahr,clear sky,IR,1567436219,14,32.94,50.12,15.93,2.45
512,borba,scattered clouds,BR,1567435927,35,-4.39,-59.59,36.43,2.07
513,gat,scattered clouds,SN,1567436219,78,14.69,-16.54,28.0,4.6
514,andros town,moderate rain,BS,1567436219,94,24.73,-77.79,25.0,8.2
515,laukaa,clear sky,FI,1567436219,56,62.42,25.95,22.78,5.7
516,ampanihy,clear sky,MG,1567436219,74,-24.69,44.75,19.43,5.16
517,halifax,broken clouds,CA,1567436023,68,44.65,-63.58,21.67,6.2
518,rosarito,broken clouds,CO,1567436220,51,4.91,-75.23,27.0,3.1
519,buncrana,light intensity shower rain,GB,1567436220,93,55.14,-7.45,15.0,8.7
520,geraldton,broken clouds,CA,1567436220,75,49.72,-86.95,7.0,3.6
521,hegra,few clouds,NO,1567436220,51,63.46,11.11,15.0,1.0
